,x,y,z,cluster_labels_baseline
0,0.38211405,5.4451714,9.007476,HRVP
1,5.9695954,4.905715,5.5291705,HRBF
2,-0.13946165,6.959542,8.337828,LRMP
3,1.0113958,7.1452155,7.1312118,LRHB
4,-1.0709417,3.694211,8.02764,HRVP
5,4.553751,9.994105,6.8096976,VLR
6,1.6367546,5.7535677,2.8516445,LRHB
7,3.4019878,2.719659,1.755144,HRIR
8,4.345619,8.380585,8.401315,HRBF
9,3.0452309,6.3682814,8.10112,HRBF
10,-0.87450904,3.9213777,7.99814,HRVP
11,-0.0489697,5.454573,5.7265186,HRVP
12,5.0464406,10.209491,6.747749,VLR
13,0.29661706,4.8235297,8.096752,HRVP
14,6.2681246,4.3401713,5.0278273,HRBF
15,2.5663497,9.473047,6.2779503,LRMP
16,2.7447302,7.3363514,7.5823417,LRMP
17,1.244313,7.032631,7.8015223,LRMP
18,7.195471,11.467345,5.652788,VLR
19,4.6107726,9.95009,6.043032,LRMP
20,1.2955556,5.4314566,8.712347,HRVP
21,5.116823,9.831601,5.2691283,LRMP
22,-0.9994918,4.2464724,8.514083,HRVP
23,-0.17283708,6.9075265,8.534182,LRMP
24,7.948354,11.551242,2.81298,VLR
25,7.3122067,7.313494,2.3608267,LRHB
26,1.054009,8.177351,5.739394,LRMP
27,-0.20775339,4.559695,7.767917,HRVP
28,0.96044356,7.215151,8.285949,LRMP
29,7.9546676,10.997579,3.5582328,VLR
30,2.7864962,7.024636,5.604854,HRBF
31,3.3256605,7.848856,6.7241526,HRBF
32,2.8548903,2.1209373,5.1320953,HRVP
33,4.162339,4.046344,1.6064451,LRHB
34,1.550063,2.1761277,5.8086085,HRVP
35,1.242119,4.09773,8.272223,HRVP
36,1.1923162,8.70528,6.2339416,LRMP
37,5.098854,7.3053427,7.681788,HRBF
38,1.959618,6.9753103,5.1323466,LRHB
39,0.518278,4.9774747,9.080587,HRVP
40,4.5771427,11.406278,5.3032556,LRMP
41,4.738192,8.585449,8.174319,HRBF
42,4.8137035,11.119089,6.5370975,VLR
43,6.6343226,10.351963,5.0297,VLR
44,6.1015687,4.163725,5.2582955,HRBF
45,3.8123758,4.9621015,7.8044786,HRBF
46,3.8636427,8.967266,6.5828924,LRMP
47,5.691896,8.2093315,2.6690807,VLR
48,5.046956,1.6485064,2.1646557,HRIR
49,4.8091416,10.702019,6.7029467,LRMP
50,2.1448286,5.4503136,8.200543,HRBF
51,1.7955492,3.7382417,8.015907,HRVP
52,4.033317,7.797001,7.3993936,HRBF
53,4.608656,8.986708,7.8486404,LRMP
54,2.7189946,7.3409657,7.365609,LRMP
55,5.9756293,11.989646,3.7018661,VLR
56,1.7675263,9.19423,7.9471507,LRMP
57,5.8075523,7.231558,7.236108,HRBF
58,3.324043,3.0983386,4.783666,HRBF
59,3.5836077,6.702895,6.429609,HRBF
60,5.7265754,6.9178047,5.805512,HRBF
61,5.669526,8.282975,6.6509485,HRBF
62,0.4930258,3.0703306,7.578397,HRVP
63,3.8839254,11.764059,6.274396,LRMP
64,-1.1742324,6.187535,5.906365,HRVP
65,4.192364,9.886306,6.873014,VLR
66,5.2219424,9.91285,1.5617644,VLR
67,1.4108031,9.429444,4.8734193,LRMP
68,3.7795672,9.759866,8.2353735,LRMP
69,5.1190033,3.7645252,3.797813,HRBF
70,3.3424003,9.696308,7.717578,LRMP
71,1.7372994,3.9981716,3.0379364,LRHB
72,7.793079,7.8464017,4.383181,HRBF
73,2.4859195,9.569836,4.232918,LRMP
74,3.169181,5.8706365,3.5775585,LRHB
75,2.5598893,3.412198,7.3956923,HRVP
76,6.247997,4.4538903,1.7001069,LRHB
77,4.5448904,4.7886014,5.0024123,HRBF
78,1.596212,7.8970995,6.3297553,LRMP
79,1.2121847,10.266404,3.2367945,LRMP
80,4.6947236,10.802261,0.842303,VLR
81,4.487174,4.91966,5.300893,HRBF
82,6.139988,1.6830801,2.551045,HRIR
83,5.7434072,1.3147088,1.5734894,HRIR
84,6.3331537,6.9927278,6.775101,HRBF
85,5.685951,8.484626,1.3725162,LRHB
86,7.5842805,6.01821,3.60536,HRBF
87,0.9908624,10.802625,4.9791903,LRMP
88,-0.20925225,9.303743,4.7864456,LRMP
89,4.3817925,11.717839,5.0629263,VLR
90,2.2329197,8.790445,1.2408961,LRHB
91,4.6226654,11.336442,6.647537,VLR
92,3.7577217,2.3679597,4.1793175,LRHB
93,5.6856837,1.9313829,2.6595457,HRIR
94,4.2042336,11.863446,5.7895513,VLR
95,4.965194,3.1638584,3.7649994,HRIR
96,2.0342581,11.17808,3.3505917,LRMP
97,1.8145947,5.2363515,5.632349,HRVP
98,5.6116376,10.112468,2.0557947,VLR
99,7.639152,11.5138855,3.6415305,VLR
100,3.492567,4.2207327,4.5367336,HRBF
101,3.7315495,9.694257,8.24056,LRMP
102,5.4999576,6.949472,6.715653,HRBF
103,7.881753,11.683034,4.7111382,VLR
104,6.0733585,2.8722563,1.7472842,HRIR
105,5.1546226,10.969194,3.0845766,VLR
106,7.466309,12.491556,3.2869647,VLR
107,2.1881754,10.325729,3.468072,LRMP
108,5.295358,9.797645,7.191638,LRMP
109,4.9223976,11.216838,6.703937,VLR
110,4.905219,9.969476,6.049071,VLR
111,5.4983916,1.6298846,3.0384207,HRIR
112,6.887904,4.59203,4.324559,HRBF
113,1.6636856,8.659135,2.231151,LRMP
114,2.9617028,6.2912874,6.996948,HRBF
115,8.27201,8.840125,2.2646701,VLR
116,5.0838113,8.490496,5.0190635,LRHB
117,6.9359856,3.873367,2.0192704,HRIR
118,0.020282002,7.870581,2.709935,LRMP
119,1.3428543,4.6642036,2.4909544,HRVP
120,7.6691113,10.495606,3.7665865,VLR
121,2.3659415,8.184333,0.14076056,LRHB
122,4.8876085,5.128214,7.148707,HRBF
123,1.7664244,3.3205185,6.643389,HRVP
124,8.248057,10.599576,4.402123,VLR
125,4.1525445,12.500619,4.9626274,VLR
126,7.0489793,8.497309,1.5598242,VLR
127,5.7209606,9.593789,6.772389,HRBF
128,2.7121177,11.100993,4.1982512,LRMP
129,4.2098975,10.060482,3.1433697,VLR
130,4.1514416,10.403776,5.043721,LRMP
131,5.077003,11.294436,3.0146172,VLR
132,6.149977,4.4426847,4.6409965,HRBF
133,-0.34733862,5.0927854,8.901902,HRVP
134,3.2881386,3.758969,5.2376513,HRBF
135,4.881749,1.1144778,3.6164563,HRIR
136,7.0338726,11.685595,5.5411735,VLR
137,8.194104,9.15684,3.674187,VLR
138,4.878365,11.7029,6.1222377,VLR
139,4.98077,8.326951,4.8577724,HRBF
140,1.681675,9.432164,4.969555,LRMP
141,4.230484,4.552236,6.0834227,HRBF
142,2.5323412,5.8109612,5.8260193,HRBF
143,6.075839,7.868494,7.0958,HRBF
144,5.2726607,9.728784,2.050157,VLR
145,1.7142919,8.772967,7.1790113,LRMP
146,6.086456,7.8701153,6.432494,HRBF
147,4.6845484,11.1177,6.6522126,LRMP
148,-0.67871374,6.979497,6.9831195,LRMP
149,-0.29321685,7.2775984,5.2618976,LRMP
150,0.60795224,9.064677,2.713235,LRMP
151,8.075688,11.118469,2.2817435,VLR
152,4.0364604,4.8189187,4.8170075,HRBF
153,4.466604,8.013363,7.7568455,HRBF
154,8.60497,11.324223,4.5632863,VLR
155,5.0804925,12.101856,4.934539,VLR
156,1.4138992,10.023649,6.410156,LRMP
157,0.7013006,4.2772593,8.645369,HRVP
158,1.5605956,4.561347,8.385176,HRVP
159,1.4487503,6.5167837,9.375507,LRMP
160,7.5140615,7.6996293,2.0811749,LRHB
161,7.202431,10.689903,3.1947014,VLR
162,0.28910387,8.29332,6.7562766,LRMP
163,6.0909877,4.720273,5.851786,HRBF
164,1.4864678,9.757672,5.0352964,LRMP
165,6.636844,10.907887,6.5924683,VLR
166,1.9956379,9.120127,4.949843,LRMP
167,4.6792617,11.886226,5.500538,VLR
168,5.1064897,10.202018,5.756965,LRMP
169,2.979191,7.192809,5.496692,HRBF
170,2.419481,6.19141,0.33304012,LRHB
171,2.419196,9.219209,0.94631606,LRHB
172,4.195688,1.776722,3.4940474,HRIR
173,5.415865,1.3019793,2.7818418,HRIR
174,1.1531535,7.3830843,1.9427471,LRHB
175,4.238713,2.6754384,3.8175383,HRIR
176,2.0627203,10.478675,4.2536244,LRMP
177,1.0273528,10.284718,1.9654012,LRMP
178,0.8834756,10.63139,4.725184,LRMP
179,1.0380964,10.384711,5.7565246,LRMP
