,x,y,z,cluster_labels_baseline
0,6.212365,-0.50333875,6.124705,LRMP
1,7.7167335,2.3418794,5.727065,LRMP
2,2.6822667,2.7894728,6.8566704,HRBF
3,0.8926641,-1.7318356,7.123024,VLR
4,0.8560116,-1.4757651,6.970099,VLR
5,5.552578,-0.27183148,7.3685727,LRMP
6,6.6881466,1.3402236,4.772401,LRMP
7,-0.6034942,-1.4328916,3.6223855,VLR
8,7.2427106,6.585499,6.970102,HRBF
9,0.24445936,1.4644989,4.1653123,VLR
11,3.0171976,2.5214884,5.063979,LRMP
12,2.8730886,4.209814,5.4742374,HRBF
13,0.77133447,3.889184,3.5896375,VLR
14,4.7451205,0.028158272,5.7222524,LRMP
15,-1.3183886,-0.51124984,6.0236187,VLR
16,4.095712,2.3788223,8.3003845,LRMP
17,2.407269,0.4215255,5.295039,VLR
18,-1.0348266,-0.24454743,6.0344543,VLR
19,3.7494252,6.6782966,4.982734,HRBF
20,2.5729878,-0.2359659,8.476409,VLR
21,1.6928508,1.9782686,7.487206,VLR
22,0.47748816,-1.4873604,5.606757,VLR
23,0.41438997,2.2844927,4.3050327,VLR
24,10.06712,3.0257413,6.9648895,HRVP
25,0.23885483,0.657217,4.431243,VLR
26,5.943174,0.49159664,5.073353,LRMP
27,-0.6223598,-0.1299521,7.1927447,VLR
28,1.878282,1.4009006,5.641903,VLR
29,0.14524144,1.5906612,3.1860015,VLR
30,6.1248746,4.061206,8.604735,HRBF
31,1.1057204,0.75034577,7.109214,VLR
32,10.734508,4.911361,6.323997,HRVP
33,1.0880648,4.4889417,5.4113417,HRBF
35,1.5792189,1.9757196,7.3783846,VLR
36,2.4784467,5.1089964,5.6301384,HRBF
37,1.5724446,-0.69137394,2.6318734,VLR
38,5.6805143,0.3335944,7.6294136,LRMP
39,-1.17969,-1.048485,5.5315375,VLR
40,5.7465386,2.2033179,8.136913,LRMP
41,1.4292723,-0.54735005,6.234651,VLR
42,8.601979,5.687089,2.7268336,LRHB
43,6.8343773,1.4981776,5.5065556,LRMP
44,1.7205725,0.20476492,6.754206,VLR
45,3.868749,-2.4069543,6.153783,LRMP
46,5.352565,3.1042752,7.269036,LRMP
47,1.2955277,0.5799793,4.1690154,VLR
48,7.1731076,7.1007023,7.1487927,HRBF
49,2.628666,0.76134354,6.007293,LRMP
50,0.68033576,2.6646564,6.2392426,VLR
51,5.3622212,0.01404728,5.9992704,LRMP
52,-0.4100854,0.17199868,5.373905,VLR
53,5.406123,5.6626425,8.559523,HRBF
54,-0.55528224,-0.2468799,6.0669794,VLR
55,3.2654457,3.9281614,1.7946907,LRHB
56,5.152608,5.2622395,8.761468,HRBF
57,6.593802,4.1525116,9.357356,HRBF
58,6.0656247,3.996622,7.977451,HRBF
59,1.2895439,4.087332,6.5289903,HRBF
60,-0.8983008,-1.7130132,6.0756574,VLR
61,9.0868225,7.547791,6.0534225,HRVP
62,3.1658614,1.047524,6.912412,VLR
63,4.843498,-1.8503586,5.312681,LRMP
64,-0.40602034,2.050762,5.0626736,VLR
65,2.35799,-1.3129265,6.4879055,VLR
66,-0.037841596,-0.9173803,5.017271,VLR
67,1.6096987,1.0557005,4.3969603,VLR
68,2.0951955,0.95700616,6.699627,VLR
69,1.5433004,-0.5293713,5.4348264,VLR
70,-0.41245013,-0.5228413,4.0853796,VLR
71,2.253559,1.4869863,3.1802335,VLR
72,6.2704053,0.22895883,8.252009,LRMP
73,-0.00850761,1.8129579,3.5489874,VLR
75,1.7430868,-1.0776625,5.060773,VLR
76,5.9439154,0.14974388,6.794646,LRMP
77,-0.7549999,0.65845376,6.522215,VLR
78,-0.3697311,0.32343432,4.395161,VLR
79,3.1061904,1.7326969,6.762345,LRMP
80,5.4373603,4.4794297,4.7719665,HRBF
81,1.9266521,2.436654,6.8339996,HRBF
82,6.3524365,4.314905,6.0580926,HRBF
83,-0.36303973,-0.72813034,6.528357,VLR
84,2.9977894,1.233659,6.3287168,LRMP
85,1.6235263,-0.87263346,3.7808304,VLR
86,5.7662244,0.46314457,5.3565493,LRMP
87,3.2110744,-0.79257166,6.103805,VLR
88,5.1222806,-2.0622735,5.999061,LRMP
89,5.629938,-0.47262472,4.5694957,LRMP
90,4.657196,-0.028545212,6.523236,LRMP
91,9.4789915,5.110897,6.5767646,HRVP
92,9.41705,2.936066,5.7308197,HRVP
93,0.83297944,-2.505158,6.0028343,VLR
95,10.633206,3.6873093,6.3914227,HRVP
96,0.34505343,1.6731259,6.2043505,VLR
97,7.549657,2.146754,8.262441,LRMP
98,5.4535117,1.0570647,6.1174345,LRMP
99,3.039138,-2.159256,4.6217093,VLR
100,8.766033,8.979021,4.8575993,HRIR
101,5.950909,-0.8865217,6.956323,LRMP
102,6.7218494,4.2326236,6.5155783,HRBF
103,1.9333225,-0.3907622,3.7272801,VLR
104,1.5076606,3.7793925,6.5399976,HRBF
105,0.728474,-1.2578928,3.8920648,VLR
106,7.3907933,3.0957801,6.8040833,LRMP
107,8.075353,7.7239137,6.4165025,HRVP
108,2.8818524,2.3830557,9.031113,HRBF
109,1.5559816,-1.8794291,4.822292,VLR
110,2.1820118,3.3032708,5.992736,HRBF
111,2.6021717,0.8509583,6.3223915,LRMP
112,5.2981515,1.564275,8.888686,LRMP
113,5.2370143,7.1345716,4.2192636,LRHB
114,1.8775878,-2.3079212,4.1095753,VLR
115,-0.5346766,-2.7286754,4.9771156,VLR
116,2.4485967,-0.7864632,4.058615,VLR
117,2.8103452,-0.6579231,6.3012624,VLR
118,3.8560956,4.2673955,7.852721,HRBF
119,5.86383,4.0420694,7.5274844,HRBF
120,5.7211275,0.8124899,6.8781853,LRMP
121,6.731464,7.0313673,7.141822,HRBF
122,0.7057771,-1.2925465,3.602255,VLR
123,4.122112,5.691863,3.9439173,LRHB
124,1.8603207,0.6613356,5.2644434,VLR
125,1.8778019,-1.2297071,6.210758,VLR
126,10.841234,4.1133757,6.6310616,HRVP
127,1.7605387,0.024355512,6.6785364,VLR
128,1.5661826,1.8722763,6.1988144,VLR
129,1.5350087,-2.4584239,6.3261094,VLR
130,9.706283,2.9489686,6.682911,HRVP
131,5.388286,7.5175753,5.8655562,HRBF
132,5.441207,-0.7788029,4.479522,LRMP
133,7.7221103,1.1953474,7.2866797,LRMP
135,4.7827973,2.5319562,2.5915856,LRHB
136,1.6534058,1.1572052,6.512087,VLR
137,5.459169,7.686623,6.845976,HRBF
139,9.005475,1.1439657,6.138981,LRMP
140,5.8129435,6.099216,7.877434,HRBF
141,1.9923624,0.049337294,4.037126,VLR
142,2.8685741,-0.23167096,7.7929997,VLR
143,8.991503,0.97673535,6.9628344,LRMP
144,7.70129,4.7577953,8.884892,HRVP
145,3.3381596,1.3600153,8.943334,LRMP
146,2.6368854,4.328512,5.6689134,HRBF
147,9.169937,3.643506,7.0596123,HRVP
149,1.7043397,4.2874446,6.906271,HRBF
150,9.17713,3.7488163,4.6311607,HRVP
151,1.5118392,-0.19268605,3.3194597,VLR
152,6.1833,1.5661596,5.3772197,LRMP
153,-0.78651404,-1.8809273,5.5730934,VLR
154,5.554758,0.24234213,5.2852044,LRMP
155,4.3999586,-0.13956444,6.648578,LRMP
156,-0.9856024,-1.5277549,4.7679315,VLR
157,-0.03700288,0.5476815,7.1848216,VLR
158,0.83916044,0.4806185,4.2007313,VLR
159,7.9668584,1.4241213,6.5928526,LRMP
160,0.8811226,1.0041369,7.8662224,VLR
161,5.064741,0.35405296,7.2927117,LRMP
162,1.9878744,-0.90146315,3.1557481,VLR
163,5.4776998,7.8030596,7.0510693,HRBF
164,-1.0463107,-0.69257593,5.5487924,VLR
165,5.2325807,-0.34610307,5.2068615,LRMP
167,0.9212692,-1.7971562,5.408446,VLR
169,1.6459693,-0.80982786,4.8522487,VLR
170,4.3124394,1.7316386,7.7306657,LRMP
171,2.7754216,-0.69125295,3.3384817,VLR
172,2.621287,-2.38324,4.757205,VLR
173,1.0062867,-0.83078384,3.6859732,VLR
174,8.89928,4.8467684,7.7791886,HRVP
175,1.8618944,0.6350526,6.7034907,VLR
176,-0.055915106,-1.6057606,6.809814,VLR
177,-0.3871481,-1.1994078,6.669483,VLR
178,-0.9001406,-1.2286788,6.2517767,VLR
179,9.778209,3.7137408,5.8311653,HRVP
180,9.674554,5.4676847,6.334911,HRVP
181,2.5170395,2.0438921,3.8449068,VLR
182,2.072647,-0.57659924,3.1885352,VLR
184,10.936154,4.4021482,6.3951716,HRVP
185,2.1892164,2.0535817,8.555646,HRBF
186,10.595736,3.9394403,6.0963626,HRVP
187,2.9107664,0.24063869,4.65119,VLR
188,1.4428322,-2.431127,6.445334,VLR
189,-1.2060801,-1.2091178,4.102632,VLR
190,5.515814,-0.7985641,6.0835204,LRMP
191,2.4598339,-0.4873084,4.3691516,VLR
192,-0.54424965,-1.5272546,6.349526,VLR
193,7.404498,0.83205646,4.4643326,LRMP
194,5.536717,5.993793,4.926539,LRHB
195,6.5891137,-0.99100333,6.5184073,LRMP
196,8.489799,1.359638,6.5115914,LRMP
197,5.0466566,-0.2923278,7.061537,LRMP
198,6.1537485,0.9109947,8.6717205,LRMP
199,8.672946,4.2240715,6.289292,HRVP
200,9.5490465,7.4501977,6.5378914,HRVP
201,7.4129486,1.2073057,7.1549907,LRMP
202,6.5363984,1.0237162,5.2296925,LRMP
203,3.3047059,-0.5077261,3.5452476,VLR
204,1.5829418,-0.28271294,7.4495625,VLR
205,4.636318,2.225391,8.028663,LRMP
207,1.5045515,1.7166302,5.1560845,VLR
208,3.5781102,3.4027765,8.717216,HRBF
209,5.306278,2.141871,7.7898374,LRMP
210,3.0076652,-0.05916975,4.680043,LRMP
211,1.2116773,-2.6152105,5.3641214,VLR
212,0.33993664,1.566816,6.928158,HRBF
213,4.999263,3.8856287,7.821092,HRBF
214,8.832325,4.360472,6.7788577,HRVP
215,2.9489818,5.796035,2.5398998,LRHB
216,0.69230145,-0.9863622,5.2898335,VLR
217,4.349752,-0.02591729,7.3829217,LRMP
218,5.422795,6.798841,5.878658,HRBF
219,4.0805917,7.4101915,1.9062606,LRHB
220,8.380822,9.013116,6.3868165,HRVP
221,0.88618654,-2.4461777,4.3716416,VLR
222,0.44828433,0.56119096,4.2880554,VLR
223,7.963323,1.8778924,8.129281,LRMP
224,9.759725,7.476618,6.4728675,HRVP
225,4.4973207,-0.24224761,6.909251,LRMP
226,9.595694,4.0689526,6.8245287,HRVP
227,3.3652577,4.8512664,1.8510238,LRHB
228,-0.91476965,-1.769575,6.222158,VLR
229,5.5360904,-0.52278537,4.7096367,LRMP
230,-0.3536364,0.6393706,6.313333,VLR
231,6.5550623,5.81069,4.259166,HRBF
232,9.607683,2.739797,7.3146334,HRVP
233,5.5550103,4.8989034,5.311534,LRMP
234,1.3416032,4.265065,5.0851617,VLR
235,3.1389048,-1.2433342,6.5038924,VLR
236,5.7255874,0.42260757,5.184033,LRMP
237,1.6367072,3.2282724,7.425787,HRBF
238,7.1942244,3.6873686,6.5976305,LRMP
